"","Code","MLG","Site_1_abrev","truffle_year","Sampling_year","Sampling_date","clusterssign(q>0.5)"
"1","TROSS3","MLG13","TRO",2010,2011,2011-03-27,"cluster6"
"2","TROSS4","MLG13","TRO",2010,2011,2011-03-27,"cluster6"
"3","BUR315","MLG7","BUR",2022,2022,2022-08-13,"cluster3"
"4","FREI1","MLG354","FRE",2010,2011,2011-01-11,"cluster3"
"5","ALD1","MLG363","ALD",2010,2011,2011-03-05,"cluster5"
"6","ALD2","MLG363","ALD",2010,2011,2011-03-05,"cluster5"
"7","FREI2","MLG354","FRE",2010,2011,2011-03-05,"cluster3"
"8","FREI3","MLG354","FRE",2010,2011,2011-03-05,"cluster3"
"9","RIETH1","MLG285","RIE",2010,2011,2011-03-05,"cluster6"
"10","RIETH2","MLG185","RIE",2010,2011,2011-03-05,"mixed"
"11","TROSS1","MLG10","TRO",2010,2011,2011-03-05,"cluster6"
"12","TROSS2","MLG365","TRO",2010,2011,2011-03-05,"cluster6"
"13","SCHLI1","MLG25","SCG",2010,2011,2011-03-06,"cluster6"
"14","SCHLI2","MLG25","SCG",2010,2011,2011-03-06,"cluster6"
"15","SCHLI3","MLG127","SCG",2010,2011,2011-03-26,"cluster2"
"16","ALD3","MLG363","ALD",2010,2011,2011-03-27,"cluster5"
"17","ALD4","MLG363","ALD",2010,2011,2011-03-27,"cluster5"
"18","RIETH3","MLG412","RIE",2010,2011,2011-03-27,"cluster4"
"19","RIETH4","MLG286","RIE",2010,2011,2011-03-27,"cluster4"
"20","ALD5","MLG363","ALD",2010,2011,2011-04-16,"cluster5"
"21","RIETH5","MLG287","RIE",2010,2011,2011-04-16,"mixed"
"22","RIETH6","MLG183","RIE",2010,2011,2011-04-16,"cluster1"
"23","TROSS6","MLG366","TRO",2010,2011,2011-04-16,"cluster6"
"24","FREI6","MLG354","FRE",2010,2011,2011-04-17,"cluster3"
"25","ALD6","MLG363","ALD",2011,2011,2011-05-07,"cluster5"
"26","ALD7","MLG363","ALD",2011,2011,2011-05-07,"cluster5"
"27","ALD8","MLG363","ALD",2011,2011,2011-05-27,"cluster5"
